sourceName,sourceVersion,productType,device,startDate,endDate,activityType,duration,durationUnit,totalEnergyBurned,totalDistance,totalSwimmingStrokeCount,totalFlightsClimbed,HKAverageMETs,HKIndoorWorkout,HKTimeZone,HKWeatherTemperature,HKWeatherHumidity,HKElevationAscended,HKSwimmingLocationType,HKLapLength,date,year,day,EnergyBurnedperMinute,month,durationInMinutes,ts,endts
Heewon의 Apple Watch,9.3.1,"Watch5,9","<<HKDevice: 0x28310c960>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch5,9, software:9.3.1>",2024-06-24 11:35:17 +0000,2024-06-24 12:10:53 +0000,Badminton,1926.3599730730057,sec,147.39 kcal,688.529 m,,,6.77395 kcal/hr·kg,0.0,Asia/Seoul,,,,,,2024-06-24,2024,Monday,4.590730768711238,6,32.10599955121676,11:35:17,12:10:53
Heewon의 Apple Watch,9.3.1,"Watch5,9","<<HKDevice: 0x283184aa0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch5,9, software:9.3.1>",2023-08-30 22:55:17 +0000,2023-08-30 23:23:53 +0000,StairClimbing,1715.9529429674149,sec,226.87 kcal,,,,11.0814 kcal/hr·kg,0.0,Asia/Seoul,69.674 degF,9200 %,,,,2023-08-30,2023,Wednesday,7.9327350180479215,8,28.59921571612358,22:55:17,23:23:53
Heewon의 Apple Watch,9.3.1,"Watch5,9","<<HKDevice: 0x283184aa0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch5,9, software:9.3.1>",2024-02-11 09:02:54 +0000,2024-02-11 09:34:15 +0000,StairClimbing,1880.9090589284897,sec,235.224 kcal,,,,10.5198 kcal/hr·kg,0.0,Asia/Seoul,38.12 degF,6900 %,,,,2024-02-11,2024,Sunday,7.503520668904694,2,31.348484315474828,09:02:54,09:34:15
Heewon의 Apple Watch,9.3.1,"Watch5,9","<<HKDevice: 0x283184aa0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch5,9, software:9.3.1>",2024-02-17 10:20:38 +0000,2024-02-17 10:52:16 +0000,StairClimbing,1897.9095948934555,sec,222.681 kcal,,,,9.94802 kcal/hr·kg,0.0,Asia/Seoul,43.394 degF,6900 %,,,,2024-02-17,2024,Saturday,7.039776834444029,2,31.631826581557593,10:20:38,10:52:16
Heewon의 Apple Watch,9.3.1,"Watch5,9","<<HKDevice: 0x283184aa0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch5,9, software:9.3.1>",2024-03-07 12:18:49 +0000,2024-03-07 12:46:16 +0000,StairClimbing,1647.6778330802915,sec,191.247 kcal,,,,9.86503 kcal/hr·kg,0.0,Asia/Seoul,,,,,,2024-03-07,2024,Thursday,6.964237649873652,3,27.46129721800486,12:18:49,12:46:16
Heewon의 Apple Watch,9.3.1,"Watch5,9","<<HKDevice: 0x283184aa0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch5,9, software:9.3.1>",2024-03-12 21:39:58 +0000,2024-03-12 22:07:42 +0000,StairClimbing,1664.2377699613571,sec,194.097 kcal,,,,9.94168 kcal/hr·kg,0.0,Asia/Seoul,,,,,,2024-03-12,2024,Tuesday,6.997689999711046,3,27.73729616602262,21:39:58,22:07:42
Heewon의 Apple Watch,9.3.1,"Watch5,9","<<HKDevice: 0x283184aa0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch5,9, software:9.3.1>",2024-03-17 06:42:23 +0000,2024-03-17 07:11:41 +0000,StairClimbing,1757.917809009552,sec,227.493 kcal,,,,10.8563 kcal/hr·kg,0.0,Asia/Seoul,,,,,,2024-03-17,2024,Sunday,7.764629227853639,3,29.2986301501592,06:42:23,07:11:41
Heewon의 Apple Watch,9.3.1,"Watch5,9","<<HKDevice: 0x283184aa0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch5,9, software:9.3.1>",2024-03-20 22:43:08 +0000,2024-03-20 23:07:21 +0000,StairClimbing,1452.3953490257263,sec,187.201 kcal,,,,10.82 kcal/hr·kg,0.0,Asia/Seoul,32.612 degF,7100 %,,,,2024-03-20,2024,Wednesday,7.733472850580607,3,24.206589150428773,22:43:08,23:07:21
Heewon의 Apple Watch,9.3.1,"Watch5,9","<<HKDevice: 0x283184aa0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch5,9, software:9.3.1>",2024-03-29 13:21:07 +0000,2024-03-29 13:47:59 +0000,StairClimbing,1611.889433979988,sec,194.996 kcal,,,,10.2371 kcal/hr·kg,0.0,Asia/Seoul,,,,,,2024-03-29,2024,Friday,7.258413482562263,3,26.86482389966647,13:21:07,13:47:59
Heewon의 Apple Watch,9.3.1,"Watch5,9","<<HKDevice: 0x283184aa0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch5,9, software:9.3.1>",2024-04-04 12:57:25 +0000,2024-04-04 13:13:24 +0000,StairClimbing,959.7890490293504,sec,117.418 kcal,,,,10.3588 kcal/hr·kg,0.0,Asia/Seoul,55.778 degF,5700 %,,,,2024-04-04,2024,Thursday,7.340237948249982,4,15.996484150489174,12:57:25,13:13:24
